,Trade Qty,Avg_Cost
0,1.0,12.522361359570661
1,2.0,12.53415300546448
2,3.0,12.5
3,4.0,12.5
4,5.0,12.5
5,6.0,12.5
6,7.0,12.5
7,8.0,12.5
8,9.0,12.890625
9,10.0,12.5
10,11.0,12.5
11,12.0,12.5
12,13.0,12.962962962962964
13,14.0,12.5
14,15.0,13.235294117647058
15,16.0,12.5
16,17.0,13.065610859728507
17,18.0,12.5
18,19.0,12.5
19,20.0,13.522727272727273
20,21.0,12.5
21,22.0,12.5
22,23.0,12.5
23,24.0,12.5
24,25.0,12.5
25,26.0,12.5
26,27.0,12.5
27,28.0,12.5
28,29.0,12.5
29,30.0,12.5
30,31.0,12.5
31,32.0,12.5
32,33.0,12.5
33,34.0,12.5
34,36.0,12.5
35,37.0,12.5
36,38.0,12.5
37,42.0,12.5
38,43.0,12.5
39,46.0,12.5
40,47.0,12.5
41,48.0,12.5
42,49.0,12.5
43,50.0,12.5
44,52.0,12.5
45,53.0,12.5
46,54.0,12.5
47,55.0,12.5
48,57.0,12.5
49,59.0,12.5
50,61.0,12.5
51,66.0,12.5
52,74.0,12.5
53,77.0,12.5
54,79.0,12.5
55,98.0,12.5
